"Only modules which have valid open source repositories are allowed to be installed and run. You can disable this option to test run the modules that you're developing","Csak azok a modulok telepíthetők és futtathatók, amelyek érvényes nyílt forráskódú adattárral rendelkeznek. Letilthatja ezt a beállítást a fejlesztés alatt álló modulok teszteléséhez","Settings.Application"
"Allow SymLink","","Settings.Application"
"Allow the presence of SymLinks in the module directory","","Settings.Application"
"Switch language?","","Settings.Application"
"Translations for %{language} are contributed by our amazing community members","","Settings.Application"
"Switch to %{language}","","Settings.Application"
"Cancel","Mégse","Settings.Application"
"Language","Nyelv","Settings.Application"
"Verbose level","Bőbeszédű szint","Settings.Core"
"Verbose level for logs.","Logolás bőbeszédű szintje.","Settings.Core"
"Core Data Directory","","Settings.Core"
"Where the blockchain data and your legacy wallet.dat are stored","","Settings.Core"
"Clear peer connections","","Settings.Core"
"Clear all stored peer connections and restart Nexus","","Settings.Core"
"Clear","","Settings.Core"
"Lite mode","","Settings.Core"
"Nexus Core under lite mode runs lighter and synchronize much faster, but you will <b>NOT</b> be able to stake, mine, or switch the wallet to Legacy Mode.","","Settings.Core"
"Disabled when Multi-user mode is on","","Settings.Core"
"Resync database","","Settings.Core"
"Delete lite mode database and resynchronize from the beginning","","Settings.Core"
"Resynchronize","","Settings.Core"
"Multi-user","","Settings.Core"
"Allow multiple logged in users at the same time. Mining and staking will be unavailable.","","Settings.Core"
"Disabled when Lite mode is on","","Settings.Core"
"Enable staking","Engedélyezze a staking-et","Settings.Core"
"Enable/Disable staking on the wallet.","Staking Engedélyezése / Tiltása a pénztárcában.","Settings.Core"
"Disabled when either Lite mode or Multi-user mode is on","","Settings.Core"
"Enable mining","Engedélyezze a bányászatot","Settings.Core"
"Enable/Disable mining to the wallet.","Bányászat Engedélyezése / Tiltása a pénztárcára.","Settings.Core"
"Mining IP Whitelist","Bányászati IP Engedélyezési Lista","Settings.Core"
"IP/Ports allowed to mine to. Separate by <b>;</b> . Wildcards supported only in IP","IP/Port-ok ahova a bányászat engedélyezett. Válaszd el <b>;</b>-vel. Helyettesítő karaktereket csak az IP-val lehet használni","Settings.Core"
"Safe Mode","","Settings.Core"
"Enables NextHash verification to protect against corruption, but adds computation time.","","Settings.Core"
"Are you sure you want to disable Safe Mode","","Settings.Core"
"Testnet Iteration","","Settings.Core"
"The iteration of Testnet to connect to. Leave it blank to connect to mainnet.","","Settings.Core"
"Private testnet","","Settings.Core"
"Private testnet runs locally on your machine","","Settings.Core"
"API SSL Port","","Settings.Core"
"Nexus API server SSL Port","","Settings.Core"
"Use non-SSL Ports","","Settings.Core"
"Connect to Nexus Core using non-SSL Ports (less secured)","","Settings.Core"
"API non-SSL Port","","Settings.Core"
"Nexus API server non-SSL Port","","Settings.Core"
"Advanced","","Settings.Core"
"Allow advanced core options","","Settings.Core"
"Core Flags","","Settings.Core"
"Pass these flags to the core on start","","Settings.Core"
"Reload transaction history","Korábbi tranzakciók újratöltése","Settings.Core"
"Nexus Core will be restarted. Lite mode database will be deleted and resynchronized from the beginning.","","Settings.Core"
"Exit remote Core mode?","","Settings.Core"
"(This will restart your Core)","(Ez újra fogja indítani a Core-t)","Settings.Core"
"Enter remote Core mode?","","Settings.Core"
"(Remote core will continue to run, but internal core will restart)","","Settings.Core"
"Core settings saved","Core beállítások elmentve","Settings.Core"
"Restarting Core...","Core újraindítása...","Settings.Core"
"Error saving settings","","Settings.Core"
"Embedded Core","","Settings.Core"
"Remote Core","","Settings.Core"
"Restart Core for these changes to take effect","","Settings.Core"
"Save settings","","Settings.Core"
"IP address","IP cím","Settings.Core"
"Remote Core IP address","","Settings.Core"
"API SSL","","Settings.Core"
"Use SSL for API calls","","Settings.Core"
"API Username","","Settings.Core"
"Nexus API server Username","","Settings.Core"
"API Password","","Settings.Core"
"Nexus API server Password","","Settings.Core"
"Log out on close","","Settings.Core"
"Log out of all users before closing the wallet","","Settings.Core"
"Settings","Beállítások","Settings"
"Application","Program","Settings"
"Core","Core","Settings"
"Style","Stílus","Settings"
"Modules","Modulok","Settings"
"Select development module directory","","Settings.Modules"
"Your module is still in development? <link>Add a development module</link>","","Settings.Modules"
"Select module archive file","Válassza ki a modul archívum fájlt","Settings.Modules"
"Select module directory","Modul könyvtár kiválasztása","Settings.Modules"
"Add Module","Modul hozzáadása","Settings.Modules"
"Checking module","Modul ellenőrzése","Settings.Modules"
"Drop here to install","Húzd ide a telepítéshez","Settings.Modules"
"Select module's <file>archive file</file> or <dir>directory</dir>","Válassza ki a modul <file>archívum fájl</file>-ját vagy <dir>könyvtár</dir>-át","Settings.Modules"
"or drag and drop it here","vagy húzza át és dobja ide","Settings.Modules"
"Developed by Nexus","","Settings.Modules"
"Installed modules","","Settings.Modules"
"Failed to load %{moduleName}","","Settings.Modules"
"No modules have been installed","","Settings.Modules"
"Disable %{moduleName}?","%{moduleName}-et kikapcsolni?","Settings.Modules"
"Wallet will be automatically refreshed for the change to take effect","A pénztárca automatikusan frissül, hogy a változás hatályba lépjen","Settings.Modules"
"Enable %{moduleName}?","%{moduleName}-et engedélyezni?","Settings.Modules"
"This module was built for an incompatible wallet version","","Settings.Modules"
"Module is not open source","A modul nem nyílt forráskódú","Settings.Modules"
"The provided repository is not verified to be the real source code of this module","Nem igazolt, hogy a megadott adattár a modul valódi forráskódja","Settings.Modules"
"%{version} update available","","Settings.Modules"
"development","","Settings.Modules"
"Cancel download","","Settings.Modules"
"Downloading %{percentage}%...","","Settings.Modules"
"Install","","Settings.Modules"
"Failed to load module","","Settings.Modules"
"Overwrite module?","Felülírja a modult?","Settings.Modules"
"A module with the same directory name already exists","Egy modul ugyanezzel a directory névvel már létezik","Settings.Modules"
"Module has been successfully installed","A modul sikeresen telepítve","Settings.Modules"
"The wallet will now be refreshed for the new module to take effect","A pénztárca most frissül, hogy az új modul életbe lépjen","Settings.Modules"
"Failed to install module","","Settings.Modules"
"Cannot find module","Nem található a modul","Settings.Modules"
"Unsupported file type","Nem támogatott fájltípus","Settings.Modules"
"Cannot install from this location","","Settings.Modules"
"Directory has already been added","","Settings.Modules"
"Failed to load development module","","Settings.Modules"
"A module with the same name already exists","","Settings.Modules"
"Development module has been added","","Settings.Modules"
"Cannot find module archive file among assets","","Settings.Modules"
"Error downloading module","","Settings.Modules"
"Module Details","Modul Részletei","ModuleDetails"
"Module name","Modul neve","ModuleDetails"
"Display name","Megjelenítendő név","ModuleDetails"
"Module type","Modul típusa","ModuleDetails"
"Description","Leírás","ModuleDetails"
"Author","Készítő","ModuleDetails"
"Source code","Forráskód","ModuleDetails"
"Visit repository","Adattár meglátogatása","ModuleDetails"
"Cancel download","","ModuleDetails"
"Downloading %{percentage}%...","","ModuleDetails"
"Install","","ModuleDetails"
"Remove module","","ModuleDetails"
"in development","","ModuleDetails"
"Entry","","ModuleDetails"
"Version","Verzió","ModuleDetails"
"Target wallet version","","ModuleDetails"
"incompatible","","ModuleDetails"
"This module is developed by Nexus","Ezt a modult Nexus fejlesztette ki","ModuleDetails"
"This repository does not exist or is private","Ez az adattár nem létezik, vagy privát","ModuleDetails"
"This repository is not verified to be the real source code of this module","Nem igazolt, hogy ez az adattár a modul valódi forráskódja","ModuleDetails"
"Module hash","Modul hash","ModuleDetails"
"Update to %{version}","","ModuleDetails"
"View the release","","ModuleDetails"
"Open App","","ModuleDetails"
"Module is disallowed","","ModuleDetails"
"Installing Module...","Modul Telepítése...","ModuleDetails"
"Install Module","Modul Telepítése","ModuleDetails"
"Warning: This module is written by a third party, Nexus is NOT
              responsible for its quality or legitimacy. Please make sure to do
              your due diligence before installing third party modules and use
              them with your own risk.","Figyelem: Ezt a modult harmadik fél írta, Nexus NEM felelős 
              annak minőségéért vagy legitimitásáért. Kérjük, kellő 
              gondossággal győződjön meg róla, mielőtt harmadik fél 
              modulját telepíti, és használja őket a saját felelősségére.","ModuleDetails"
"Select wallpaper","","Settings.Style"
"Starry night","","Settings.Style"
"Cosmic light","Kozmikus fény","Settings.Style"
"Nexus.io","","Settings.Style"
"Custom wallpaper","Egyéni háttérkép","Settings.Style"
"Select a custom wallpaper","Egyedi Háttérkép Választása","Settings.Style"
"Select custom theme file","Egyéni kinézetes fájl választása","Settings.Style"
"Theme exported","Kinézet exportálva","Settings.Style"
"Render globe","Földgolyó megjelenítése","Settings.Style"
"Render the globe on the Overview page.","Az Áttekintő oldalon a földgolyó megjelenítése.","Settings.Style"
"Your computer does not support OPENGL 2.0","A számítógéped nem támogatja az OPENGL 2.0-t","Settings.Style"
"Overview Display","Áttekintés Kijelző","Settings.Style"
"Hide Overview balances","","Settings.Style"
"Hide the balances on the Overview page for privacy.","","Settings.Style"
"Nexus Addresses format","Nexus Címek formátuma","Settings.Style"
"Choose your Nexus Address display preference","Válaszd ki a Nexus Cím megjelenítési preferenciát","Settings.Style"
"Sample Address","Minta Cím","Settings.Style"
"Wallet theme","","Settings.Style"
"Background","Háttérkép","Settings.Style"
"Customize your background wallpaper","Háttérkép Testreszabása","Settings.Style"
"Color scheme","Színséma","Settings.Style"
"Background Color","Háttérszín","Settings.Style"
"Foreground Color","Előtér Szín","Settings.Style"
"Primary Color","Elsődleges szín","Settings.Style"
"Primary Color Accent","Elsődleges Szín Nyomaték","Settings.Style"
"Danger Color","Veszély Szín","Settings.Style"
